id,default_code,name,description_purchase,description_sale,purchase_ok,sale_ok,type,track_service,invoice_policy,route_ids,chemistry,list_price,taxes_id/id,standard_price,sale_delay,warranty,uom_id/id,categ_id/id,uom_po_id/id,company_id/id
__setup__.product_1001,1001,Rupture passant,,,,TRUE,service,Create a task and track hours,Delivered quantities,,,50,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1002,1002,1 kg,,,,TRUE,Consumable,,,,,,,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1003,1003,130°C,,,,TRUE,Consumable,,,,,,,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1004,1004,150g,,,,TRUE,Consumable,,,,,,,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1005,1005,3.010 Contrôle résistance champs magnétiques,,,,TRUE,service,Create a task and track hours,Delivered quantities,,,70,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1006,1006,4-methylpentan-2-one,,,,TRUE,service,Create a task and track hours,Delivered quantities,,chem,130,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1007,1007,6.010 Contrôle initial de fonctionnement,,,,TRUE,service,Create a task and track hours,Delivered quantities,,,60,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1008,1008,6.020 Chocs accélération 450g,,,,TRUE,service,Create a task and track hours,Delivered quantities,,,15,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1009,1009,6.031 Cycle vieillissement MC,,,,TRUE,service,Create a task and track hours,Delivered quantities,,,300,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1010,1010,6.040 Chocs accélération 550g,,,,TRUE,service,Create a task and track hours,Delivered quantities,,,15,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1011,1011,7.010 Fonction de la tige mise à l'heure,,,,TRUE,service,Create a task and track hours,Delivered quantities,,,70,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1012,1012,7.020 Vieillissement de la mise à l'heure,,,,TRUE,service,Create a task and track hours,Delivered quantities,,,70,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1013,1013,7.051 Vieillissement du système de remontage,,,,TRUE,service,Create a task and track hours,Delivered quantities,,,50,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1014,1014,7.060 Vieillissement de système automatique,,,,TRUE,service,Create a task and track hours,Delivered quantities,,,50,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1016,1016,A froid,,,,TRUE,Consumable,,,,,,,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1017,1017,Accélérateurs de vulcanisation (MBT),,,,TRUE,service,Create a task and track hours,Delivered quantities,,chem,130,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1018,1018,Acétate d'éthyle,,,,TRUE,Consumable,,,,,20,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1019,1019,Acétone,,,,TRUE,Consumable,,,,,20,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
