city;country_id/id;id;is_company;customer;lang;lastname;street;street2;tz;zip
Nice;base.fr;scenario.userAPIApi_res_partner;False;False;fr_FR;API;;;UTC;6200
Nice;base.fr;base.main_partner;False;False;fr_FR;Depil Tech Holding;;;UTC;6200
Nice;base.fr;base.main_company_res_partner;True;False;fr_FR;Depil Tech Holding;;;UTC;6200
Nice;base.fr;scenario.company_agencyHolding_res_partner;True;False;fr_FR;Agency Holding;;;UTC;6200
Nice;base.fr;scenario.company_depiltechSAS_res_partner;True;False;fr_FR;Depil Tech SAS;;;UTC;6200
Nice;base.fr;scenario.company_depiltechSiege_res_partner;True;False;fr_FR;Depil Tech Siege;;;UTC;6200
Nice;base.fr;scenario.company_agencyFR_res_partner;True;False;fr_FR;Agency France;;;UTC;6200
Nice;base.be;scenario.company_agencyBE_res_partner;True;False;fr_FR;Agency Belgique;;;UTC;6200
Nice;base.be;scenario.company_agencyBE_res_partner;True;False;fr_FR;Agency Belgique;;;UTC;6200
Nice;base.lu;scenario.company_agencyLU_res_partner;True;False;fr_FR;Agency Luxembourg;;;UTC;6200
Nice;base.ch;scenario.company_agencyCH_res_partner;True;False;fr_FR;Agency Suisse;;;UTC;6200
Nice;base.mx;scenario.company_agencyMX_res_partner;True;False;fr_FR;Agency Mexique;;;UTC;6200
Nice;base.re;scenario.company_agencyRE_res_partner;True;False;fr_FR;Agency LaReunion;;;UTC;6200
Nice;base.es;scenario.company_agencyES_res_partner;True;False;fr_FR;Agency Espagne;;;UTC;6200
NICE;base.fr;scenario.company_agencyfr_center8_res_partner;True;True;fr_FR;NICE TRACHEL;1 RUE TRACHEL;;Europe/Paris;6000
NICE;base.fr;scenario.user_center_nice-trachel_res_partner;False;False;fr_FR;NICE GARE THIERS;1 Rue Trachel;;Europe/Paris;6000
LA GARDE;base.fr;scenario.company_agencyfr_center10_res_partner;True;True;fr_FR;LA GARDE;73 Avenue Sadi Carnot;;Europe/Paris;83130
NICE;base.fr;scenario.company_agencyfr_center11_res_partner;True;True;fr_FR;NICE RUE DE FRANCE;47 RUE DE FRANCE;;Europe/Paris;6000
NICE;base.fr;scenario.user_center_nice-ruedefrance_res_partner;False;False;fr_FR;NICE RUE DE FRANCE;47 rue de France;;Europe/Paris;6000
