"active";"company_id/id";"id";"is_open_am_0";"is_open_am_1";"is_open_am_2";"is_open_am_3";"is_open_am_4";"is_open_am_5";"is_open_am_6";"is_open_pm_0";"is_open_pm_1";"is_open_pm_2";"is_open_pm_3";"is_open_pm_4";"is_open_pm_5";"is_open_pm_6";"time_begin_am_0";"time_begin_am_1";"time_begin_am_2";"time_begin_am_3";"time_begin_am_4";"time_begin_am_5";"time_begin_am_6";"time_begin_pm_0";"time_begin_pm_1";"time_begin_pm_2";"time_begin_pm_3";"time_begin_pm_4";"time_begin_pm_5";"time_begin_pm_6";"time_end_am_0";"time_end_am_1";"time_end_am_2";"time_end_am_3";"time_end_am_4";"time_end_am_5";"time_end_am_6";"time_end_pm_0";"time_end_pm_1";"time_end_pm_2";"time_end_pm_3";"time_end_pm_4";"time_end_pm_5";"time_end_pm_6"
"True";"scenario.company_agencyfr_center8";"scenario.company_agencyfr_center8_schedule";"False";"True";"True";"True";"True";"True";"False";"False";"False";"False";"False";"False";"False";"False";"10";"10";"10";"10";"10";"10";"0";"14";"14";"14";"14";"14";"14";"0";"13";"19";"19";"19";"19";"19";"0";"19";"19";"19";"19";"19";"19";"0"
"True";"scenario.company_agencyfr_center10";"scenario.company_agencyfr_center10_schedule";"True";"True";"True";"True";"True";"True";"False";"True";"True";"True";"True";"True";"True";"False";"10";"10";"10";"10";"10";"9";"0";"14";"14";"14";"14";"14";"12";"0";"12";"12";"12";"12";"12";"12";"0";"18";"19";"19";"19";"19";"16";"0"
"True";"scenario.company_agencyfr_center11";"scenario.company_agencyfr_center11_schedule";"False";"True";"True";"True";"True";"True";"False";"False";"True";"True";"True";"True";"True";"False";"10";"10";"10";"10";"10";"10";"0";"12";"0";"0";"0";"0";"0";"0";"12";"0";"0";"0";"0";"0";"0";"18";"19";"19";"19";"19";"19";"0"
"True";"scenario.company_agencyfr_center12";"scenario.company_agencyfr_center12_schedule";"True";"True";"True";"True";"True";"True";"False";"True";"True";"True";"True";"True";"True";"False";"10";"10";"10";"10";"10";"9";"0";"14";"14";"14";"14";"14";"13";"0";"12";"12";"12";"12";"12";"13";"0";"19";"19";"19";"19";"19";"16";"0"
"True";"scenario.company_agencyfr_center13";"scenario.company_agencyfr_center13_schedule";"True";"True";"True";"True";"True";"True";"False";"True";"True";"True";"True";"True";"True";"False";"9.5";"9.5";"9.5";"9.5";"9.5";"9.5";"0";"14";"14";"14";"14";"14";"14";"0";"13";"13";"13";"13";"13";"13";"0";"19";"19";"19";"19";"19";"19";"0"
"True";"scenario.company_agencyfr_center14";"scenario.company_agencyfr_center14_schedule";"True";"True";"True";"True";"True";"True";"False";"True";"True";"True";"True";"True";"True";"False";"10";"10";"10";"10";"10";"9.5";"0";"12";"12";"12";"12";"12";"12";"0";"12";"12";"12";"12";"12";"12";"0";"19";"19";"19";"19";"19";"18";"0"
"True";"scenario.company_agencyfr_center15";"scenario.company_agencyfr_center15_schedule";"True";"True";"True";"True";"True";"False";"False";"True";"True";"True";"True";"True";"False";"False";"9";"9";"9";"9";"9";"0";"0";"12";"12";"12";"12";"12";"0";"0";"12";"12";"12";"12";"12";"0";"0";"20";"20";"20";"20";"20";"0";"0"
"True";"scenario.company_agencyfr_center16";"scenario.company_agencyfr_center16_schedule";"True";"True";"True";"True";"True";"True";"False";"True";"True";"True";"True";"True";"True";"False";"10";"10";"10";"10";"10";"10";"0";"12";"12";"12";"12";"12";"12";"0";"12";"12";"12";"12";"12";"12";"0";"19";"19";"19";"19";"19";"17";"0"
"True";"scenario.company_agencyfr_center24";"scenario.company_agencyfr_center24_schedule";"False";"True";"True";"True";"True";"True";"False";"False";"True";"True";"True";"True";"True";"False";"9";"10";"10";"10";"10";"10";"0";"12";"12";"12";"12";"12";"12";"0";"12";"12";"12";"12";"12";"12";"0";"18";"18.5";"18.5";"18.5";"18.5";"18";"0"
"True";"scenario.company_agencyfr_center26";"scenario.company_agencyfr_center26_schedule";"False";"True";"True";"True";"True";"True";"False";"False";"True";"True";"True";"True";"True";"False";"10";"10";"10";"10";"10";"10";"0";"14";"14";"14";"14";"14";"14";"0";"13";"13";"13";"13";"13";"13";"0";"19";"19";"19";"19";"19";"19";"0"
