id,categ_id/id,name,no_quantity,purchase_ok,sale_ok,lst_price,taxes_id/id,supplier_taxes_id/id
scenario.product_depil_femmes_seance_jambe_3-4_cuisses,scenario.product_category_depil_femmes_seance_jambe,Dépilation 3/4 Cuisses 1 Séance Femme,True,False,True,153.33,"scenario.account_tax_sale_agency_ch_c1_TVA_due_a_8_0%__TN_,scenario.account_tax_sale_agency_be_c1_21%_Services,scenario.account_tax_sale_agency_center1_TVA_collectée__vente__20_0%,scenario.account_tax_sale_agency_lu_c1_Vente_Prestations_17%___Pays,scenario.account_tax_sale_agency_mx_c1_IVA_16%__VENTAS","scenario.account_tax_purchase_agency_ch_c1_TVA_8_0%_sur_achat_B&S__TN_,scenario.account_tax_purchase_agency_be_c1_21%_Services,scenario.account_tax_purchase_agency_center1_TVA_déductible__achat__20_0%,scenario.account_tax_purchase_agency_lu_c1_Achat_Prestations_17%___Pays,scenario.account_tax_sale_agency_mx_c1_IVA_16%__VENTAS"
scenario.product_depil_femmes_forfait_jambe_3-4_cuisses,scenario.product_category_depil_femmes_forfait_jambe,Dépilation 3/4 Cuisses Femme,True,False,True,766.67,"scenario.account_tax_sale_agency_ch_c1_TVA_due_a_8_0%__TN_,scenario.account_tax_sale_agency_be_c1_21%_Services,scenario.account_tax_sale_agency_center1_TVA_collectée__vente__20_0%,scenario.account_tax_sale_agency_lu_c1_Vente_Prestations_17%___Pays,scenario.account_tax_sale_agency_mx_c1_IVA_16%__VENTAS","scenario.account_tax_purchase_agency_ch_c1_TVA_8_0%_sur_achat_B&S__TN_,scenario.account_tax_purchase_agency_be_c1_21%_Services,scenario.account_tax_purchase_agency_center1_TVA_déductible__achat__20_0%,scenario.account_tax_purchase_agency_lu_c1_Achat_Prestations_17%___Pays,scenario.account_tax_sale_agency_mx_c1_IVA_16%__VENTAS"
scenario.product_depil_femmes_seance_jambe_3-4_jambes,scenario.product_category_depil_femmes_seance_jambe,Dépilation 3/4 Jambes 1 Séance Femme,True,False,True,231.67,"scenario.account_tax_sale_agency_ch_c1_TVA_due_a_8_0%__TN_,scenario.account_tax_sale_agency_be_c1_21%_Services,scenario.account_tax_sale_agency_center1_TVA_collectée__vente__20_0%,scenario.account_tax_sale_agency_lu_c1_Vente_Prestations_17%___Pays,scenario.account_tax_sale_agency_mx_c1_IVA_16%__VENTAS","scenario.account_tax_purchase_agency_ch_c1_TVA_8_0%_sur_achat_B&S__TN_,scenario.account_tax_purchase_agency_be_c1_21%_Services,scenario.account_tax_purchase_agency_center1_TVA_déductible__achat__20_0%,scenario.account_tax_purchase_agency_lu_c1_Achat_Prestations_17%___Pays,scenario.account_tax_sale_agency_mx_c1_IVA_16%__VENTAS"
scenario.product_depil_femmes_forfait_jambe_3-4_jambes,scenario.product_category_depil_femmes_forfait_jambe,Dépilation 3/4 Jambes Femme,True,False,True,1158.33,"scenario.account_tax_sale_agency_ch_c1_TVA_due_a_8_0%__TN_,scenario.account_tax_sale_agency_be_c1_21%_Services,scenario.account_tax_sale_agency_center1_TVA_collectée__vente__20_0%,scenario.account_tax_sale_agency_lu_c1_Vente_Prestations_17%___Pays,scenario.account_tax_sale_agency_mx_c1_IVA_16%__VENTAS","scenario.account_tax_purchase_agency_ch_c1_TVA_8_0%_sur_achat_B&S__TN_,scenario.account_tax_purchase_agency_be_c1_21%_Services,scenario.account_tax_purchase_agency_center1_TVA_déductible__achat__20_0%,scenario.account_tax_purchase_agency_lu_c1_Achat_Prestations_17%___Pays,scenario.account_tax_sale_agency_mx_c1_IVA_16%__VENTAS"
scenario.product_depil_femmes_forfait_aiselles,scenario.product_category_depil_femmes_forfait,Dépilation Aiselles Femme,True,False,True,366.67,"scenario.account_tax_sale_agency_ch_c1_TVA_due_a_8_0%__TN_,scenario.account_tax_sale_agency_be_c1_21%_Services,scenario.account_tax_sale_agency_center1_TVA_collectée__vente__20_0%,scenario.account_tax_sale_agency_lu_c1_Vente_Prestations_17%___Pays,scenario.account_tax_sale_agency_mx_c1_IVA_16%__VENTAS","scenario.account_tax_purchase_agency_ch_c1_TVA_8_0%_sur_achat_B&S__TN_,scenario.account_tax_purchase_agency_be_c1_21%_Services,scenario.account_tax_purchase_agency_center1_TVA_déductible__achat__20_0%,scenario.account_tax_purchase_agency_lu_c1_Achat_Prestations_17%___Pays,scenario.account_tax_sale_agency_mx_c1_IVA_16%__VENTAS"
scenario.product_depil_femmes_seance_aisselles,scenario.product_category_depil_femmes_seance,Dépilation Aisselles 1 Séance Femme,True,False,True,73.33,"scenario.account_tax_sale_agency_ch_c1_TVA_due_a_8_0%__TN_,scenario.account_tax_sale_agency_be_c1_21%_Services,scenario.account_tax_sale_agency_center1_TVA_collectée__vente__20_0%,scenario.account_tax_sale_agency_lu_c1_Vente_Prestations_17%___Pays,scenario.account_tax_sale_agency_mx_c1_IVA_16%__VENTAS","scenario.account_tax_purchase_agency_ch_c1_TVA_8_0%_sur_achat_B&S__TN_,scenario.account_tax_purchase_agency_be_c1_21%_Services,scenario.account_tax_purchase_agency_center1_TVA_déductible__achat__20_0%,scenario.account_tax_purchase_agency_lu_c1_Achat_Prestations_17%___Pays,scenario.account_tax_sale_agency_mx_c1_IVA_16%__VENTAS"
scenario.product_depil_hommes_seance_aisselles,scenario.product_category_depil_hommes_seance,Dépilation Aisselles 1 Séance Homme,True,False,True,73.33,"scenario.account_tax_sale_agency_ch_c1_TVA_due_a_8_0%__TN_,scenario.account_tax_sale_agency_be_c1_21%_Services,scenario.account_tax_sale_agency_center1_TVA_collectée__vente__20_0%,scenario.account_tax_sale_agency_lu_c1_Vente_Prestations_17%___Pays,scenario.account_tax_sale_agency_mx_c1_IVA_16%__VENTAS","scenario.account_tax_purchase_agency_ch_c1_TVA_8_0%_sur_achat_B&S__TN_,scenario.account_tax_purchase_agency_be_c1_21%_Services,scenario.account_tax_purchase_agency_center1_TVA_déductible__achat__20_0%,scenario.account_tax_purchase_agency_lu_c1_Achat_Prestations_17%___Pays,scenario.account_tax_sale_agency_mx_c1_IVA_16%__VENTAS"
scenario.product_depil_hommes_forfait_aisselles,scenario.product_category_depil_hommes_forfait,Dépilation Aisselles Homme,True,False,True,366.67,"scenario.account_tax_sale_agency_ch_c1_TVA_due_a_8_0%__TN_,scenario.account_tax_sale_agency_be_c1_21%_Services,scenario.account_tax_sale_agency_center1_TVA_collectée__vente__20_0%,scenario.account_tax_sale_agency_lu_c1_Vente_Prestations_17%___Pays,scenario.account_tax_sale_agency_mx_c1_IVA_16%__VENTAS","scenario.account_tax_purchase_agency_ch_c1_TVA_8_0%_sur_achat_B&S__TN_,scenario.account_tax_purchase_agency_be_c1_21%_Services,scenario.account_tax_purchase_agency_center1_TVA_déductible__achat__20_0%,scenario.account_tax_purchase_agency_lu_c1_Achat_Prestations_17%___Pays,scenario.account_tax_sale_agency_mx_c1_IVA_16%__VENTAS"
scenario.product_depil_hommes_seance_aréoles,scenario.product_category_depil_hommes_seance,Dépilation Aréoles 1 Séance (zone Hormono-dépendante) Homme,True,False,True,53.33,"scenario.account_tax_sale_agency_ch_c1_TVA_due_a_8_0%__TN_,scenario.account_tax_sale_agency_be_c1_21%_Services,scenario.account_tax_sale_agency_center1_TVA_collectée__vente__20_0%,scenario.account_tax_sale_agency_lu_c1_Vente_Prestations_17%___Pays,scenario.account_tax_sale_agency_mx_c1_IVA_16%__VENTAS","scenario.account_tax_purchase_agency_ch_c1_TVA_8_0%_sur_achat_B&S__TN_,scenario.account_tax_purchase_agency_be_c1_21%_Services,scenario.account_tax_purchase_agency_center1_TVA_déductible__achat__20_0%,scenario.account_tax_purchase_agency_lu_c1_Achat_Prestations_17%___Pays,scenario.account_tax_sale_agency_mx_c1_IVA_16%__VENTAS"
scenario.product_depil_hommes_forfait_aréoles_forfait_6_séances,scenario.product_category_depil_hommes_forfait,Dépilation Aréoles Forfait 6 Séances (zone Hormono-dépendante) Homme,True,False,True,266.67,"scenario.account_tax_sale_agency_ch_c1_TVA_due_a_8_0%__TN_,scenario.account_tax_sale_agency_be_c1_21%_Services,scenario.account_tax_sale_agency_center1_TVA_collectée__vente__20_0%,scenario.account_tax_sale_agency_lu_c1_Vente_Prestations_17%___Pays,scenario.account_tax_sale_agency_mx_c1_IVA_16%__VENTAS","scenario.account_tax_purchase_agency_ch_c1_TVA_8_0%_sur_achat_B&S__TN_,scenario.account_tax_purchase_agency_be_c1_21%_Services,scenario.account_tax_purchase_agency_center1_TVA_déductible__achat__20_0%,scenario.account_tax_purchase_agency_lu_c1_Achat_Prestations_17%___Pays,scenario.account_tax_sale_agency_mx_c1_IVA_16%__VENTAS"
