"id","active","code","company_id/id","date_range_ids/id","implementation","name","number_increment","number_next","padding","prefix","suffix","use_date_range"
"__setup__.ir_sequence_wh_in_metallo_tests_s_a_sequence_in","True","","base.main_company","","standard","Métallo-Tests S.A.Sequence in","1","1","5","WH/IN/","","False"
"__setup__.ir_sequence_mt_in_metallo_tests_s_a_sequence_in","True","","base.main_company","","standard","Métallo-Tests S.A.Sequence in","1","1","5","MT/IN/","","False"
"__setup__.ir_sequence_wh_int_metallo_tests_s_a_sequence_internal","True","","base.main_company","","standard","Métallo-Tests S.A.Sequence internal","1","1","5","WH/INT/","","False"
"__setup__.ir_sequence_mt_int_metallo_tests_s_a_sequence_internal","True","","base.main_company","","standard","Métallo-Tests S.A.Sequence internal","1","1","5","MT/INT/","","False"
"__setup__.ir_sequence_wh_out_metallo_tests_s_a_sequence_out","True","","base.main_company","","standard","Métallo-Tests S.A.Sequence out","1","1","5","WH/OUT/","","False"
"__setup__.ir_sequence_mt_out_metallo_tests_s_a_sequence_out","True","","base.main_company","","standard","Métallo-Tests S.A.Sequence out","1","1","5","MT/OUT/","","False"
"__setup__.ir_sequence_mt_pack_metallo_tests_s_a_sequence_packing","True","","base.main_company","","standard","Métallo-Tests S.A.Sequence packing","1","1","5","MT/PACK/","","False"
"__setup__.ir_sequence_wh_pack_metallo_tests_s_a_sequence_packing","True","","base.main_company","","standard","Métallo-Tests S.A.Sequence packing","1","1","5","WH/PACK/","","False"
"__setup__.ir_sequence_mt_pick_metallo_tests_s_a_sequence_picking","True","","base.main_company","","standard","Métallo-Tests S.A.Sequence picking","1","1","5","MT/PICK/","","False"
"__setup__.ir_sequence_wh_pick_metallo_tests_s_a_sequence_picking","True","","base.main_company","","standard","Métallo-Tests S.A.Sequence picking","1","1","5","WH/PICK/","","False"
