id,action,active,company_id/id,delay,group_id/id,group_propagation_option,location_id/id,location_src_id/id,name,partner_address_id/id,picking_type_id/id,procure_method,propagate,propagate_warehouse_id/id,route_id/id,route_sequence,sequence,warehouse_id/id
__setup__.procurement_rule_wh_rul1_customer_raw_material_stock,move,True,,1,,propagate,stock.stock_location_stock,__setup__.mts_stock_location_client_mat_premiere,WH rul1: Customer Raw Material -> Stock,,__setup__.stock_picking_type_reception_client_mat_premiere,make_to_stock,True,,__setup__.stock_location_route_mto_dur,0,40,stock.warehouse0
__setup__.procurement_rule_wh_rul1_stock_durcissement_customer,move,True,,1,,propagate,stock.stock_location_customers,__setup__.mts_stock_location_recu_durcissement,WH rul1: Stock Durcissement -> Customer,,stock.picking_type_out,make_to_order,True,,__setup__.stock_location_route_mto_dur,0,10,stock.warehouse0
__setup__.procurement_rule_wh_rul1_stock_supplier_durcissement,move,True,,15,,propagate,__setup__.mts_stock_location_bodycote_durcissement,stock.stock_location_stock,WH rul1: Stock -> Supplier Durcissement,,__setup__.stock_picking_type_envoi_durcissement,make_to_order,True,,__setup__.stock_location_route_mto_dur,0,30,stock.warehouse0
__setup__.procurement_rule_wh_rul1_supplier_durcissement_stock_durcissement,move,True,,1,,propagate,__setup__.mts_stock_location_recu_durcissement,__setup__.mts_stock_location_bodycote_durcissement,WH rul1: Supplier Durcissement -> Stock Durcissement,,stock.picking_type_in,make_to_order,True,,__setup__.stock_location_route_mto_dur,0,20,stock.warehouse0
__setup__.procurement_rule_wh_rul2_customer_raw_material_stock,move,True,,1,,propagate,stock.stock_location_stock,__setup__.mts_stock_location_client_mat_premiere,WH rul2: Customer Raw Material -> Stock,,__setup__.stock_picking_type_reception_client_mat_premiere,make_to_stock,True,,__setup__.stock_location_route_mto_dur_pol,0,60,stock.warehouse0
__setup__.procurement_rule_wh_rul2_stock_durcissement_supplier_polissage,move,True,,3,,propagate,__setup__.mts_stock_location_calcada_polissage,__setup__.mts_stock_location_recu_durcissement,WH rul2: Stock Durcissement -> Supplier Polissage,,__setup__.stock_picking_type_envoi_polissage,make_to_order,True,,__setup__.stock_location_route_mto_dur_pol,0,30,stock.warehouse0
__setup__.procurement_rule_wh_rul2_stock_polissage_customer,move,True,,7,,propagate,stock.stock_location_customers,__setup__.mts_stock_location_recu_polissage,WH rul2: Stock Polissage -> Customer,,stock.picking_type_out,make_to_order,True,,__setup__.stock_location_route_mto_dur_pol,0,10,stock.warehouse0
__setup__.procurement_rule_wh_rul2_stock_supplier_durcissement,move,True,,15,,propagate,__setup__.mts_stock_location_bodycote_durcissement,stock.stock_location_stock,WH rul2: Stock -> Supplier Durcissement,,__setup__.stock_picking_type_envoi_durcissement,make_to_order,True,,__setup__.stock_location_route_mto_dur_pol,0,50,stock.warehouse0
__setup__.procurement_rule_wh_rul2_supplier_durcissement_stock_durcissement,move,True,,1,,propagate,__setup__.mts_stock_location_recu_durcissement,__setup__.mts_stock_location_bodycote_durcissement,WH rul2: Supplier Durcissement -> Stock Durcissement,,stock.picking_type_in,make_to_order,True,,__setup__.stock_location_route_mto_dur_pol,0,40,stock.warehouse0
__setup__.procurement_rule_wh_rul2_supplier_polissage_stock_polissage,move,True,,1,,propagate,__setup__.mts_stock_location_recu_polissage,__setup__.mts_stock_location_calcada_polissage,WH rul2: Supplier Polissage -> Stock Polissage,,__setup__.stock_picking_type_reception_polissage,make_to_order,True,,__setup__.stock_location_route_mto_dur_pol,0,20,stock.warehouse0
__setup__.procurement_rule_wh_rul3_customer_raw_material_stock,move,True,,1,,propagate,stock.stock_location_stock,__setup__.mts_stock_location_client_mat_premiere,WH rul3: Customer Raw Material -> Stock,,__setup__.stock_picking_type_reception_client_mat_premiere,make_to_stock,True,,__setup__.stock_location_route_mto_dur_pol_dlc,0,80,stock.warehouse0
__setup__.procurement_rule_wh_rul3_stock_dlc_customer,move,True,,1,,propagate,stock.stock_location_customers,__setup__.mts_stock_location_recu_dlc,WH rul3: Stock DLC -> Customer,,stock.picking_type_out,make_to_order,True,,__setup__.stock_location_route_mto_dur_pol_dlc,0,10,stock.warehouse0
__setup__.procurement_rule_wh_rul3_stock_durcissement_supplier_polissage,move,True,,3,,propagate,__setup__.mts_stock_location_calcada_polissage,__setup__.mts_stock_location_recu_durcissement,WH rul3: Stock Durcissement -> Supplier Polissage,,__setup__.stock_picking_type_envoi_polissage,make_to_order,True,,__setup__.stock_location_route_mto_dur_pol_dlc,0,50,stock.warehouse0
__setup__.procurement_rule_wh_rul3_stock_polissage_supplier_dlc,move,True,,7,,propagate,__setup__.mts_stock_location_ionbond_dlc,__setup__.mts_stock_location_recu_polissage,WH rul3: Stock Polissage -> Supplier DLC,,__setup__.stock_picking_type_envoi_dlc,make_to_order,True,,__setup__.stock_location_route_mto_dur_pol_dlc,0,30,stock.warehouse0
__setup__.procurement_rule_wh_rul3_stock_supplier_durcissement,move,True,,15,,propagate,__setup__.mts_stock_location_bodycote_durcissement,stock.stock_location_stock,WH rul3: Stock -> Supplier Durcissement,,__setup__.stock_picking_type_envoi_durcissement,make_to_order,True,,__setup__.stock_location_route_mto_dur_pol_dlc,0,70,stock.warehouse0
__setup__.procurement_rule_wh_rul3_supplier_dlc_stock_dlc,move,True,,1,,propagate,__setup__.mts_stock_location_recu_dlc,__setup__.mts_stock_location_ionbond_dlc,WH rul3: Supplier DLC -> Stock DLC,,__setup__.stock_picking_type_reception_dlc,make_to_order,True,,__setup__.stock_location_route_mto_dur_pol_dlc,0,20,stock.warehouse0
__setup__.procurement_rule_wh_rul3_supplier_durcissement_stock_durcissement,move,True,,1,,propagate,__setup__.mts_stock_location_recu_durcissement,__setup__.mts_stock_location_bodycote_durcissement,WH rul3: Supplier Durcissement -> Stock Durcissement,,stock.picking_type_in,make_to_order,True,,__setup__.stock_location_route_mto_dur_pol_dlc,0,60,stock.warehouse0
__setup__.procurement_rule_wh_rul3_supplier_polissage_stock_polissage,move,True,,1,,propagate,__setup__.mts_stock_location_recu_polissage,__setup__.mts_stock_location_calcada_polissage,WH rul3: Supplier Polissage -> Stock Polissage,,__setup__.stock_picking_type_reception_polissage,make_to_order,True,,__setup__.stock_location_route_mto_dur_pol_dlc,0,40,stock.warehouse0
__setup__.procurement_rule_wh_rul4_stock_dlc_customer,move,True,,1,,propagate,stock.stock_location_customers,__setup__.mts_stock_location_recu_dlc,WH rul4: Stock DLC -> Customer,,stock.picking_type_out,make_to_order,True,,__setup__.stock_location_route_mto_rhabillage_dlc_pol,0,20,stock.warehouse0
__setup__.procurement_rule_wh_rul4_stock_dlc_supplier_dlc,move,True,,7,,propagate,__setup__.mts_stock_location_ionbond_dlc_rhabillage,__setup__.mts_stock_location_recu_dlc,WH rul4: Stock DLC -> Supplier DLC,,__setup__.stock_picking_type_envoi_dlc_rhabillage,make_to_stock,True,,__setup__.stock_location_route_mto_rhabillage_dlc_pol,0,20,stock.warehouse0
__setup__.procurement_rule_wh_rul4_stock_polissage_supplier_dlc,move,True,,7,,propagate,__setup__.mts_stock_location_ionbond_dlc,__setup__.mts_stock_location_recu_polissage,WH rul4: Stock Polissage -> Supplier DLC,,__setup__.stock_picking_type_envoi_dlc,make_to_order,True,,__setup__.stock_location_route_mto_rhabillage_dlc_pol,0,20,stock.warehouse0
__setup__.procurement_rule_wh_rul4_stock_rhabillage_dlc_supplier_polissage,move,True,,3,,propagate,__setup__.mts_stock_location_calcada_polissage,__setup__.mts_stock_location_recu_dlc_rhabillage,WH rul4: Stock Rhabillage DLC -> Supplier Polissage,,__setup__.stock_picking_type_envoi_polissage,make_to_order,True,,__setup__.stock_location_route_mto_rhabillage_dlc_pol,0,20,stock.warehouse0
__setup__.procurement_rule_wh_rul4_supplier_dlc_stock_dlc,move,True,,1,,propagate,__setup__.mts_stock_location_recu_dlc,__setup__.mts_stock_location_ionbond_dlc,WH rul4: Supplier DLC -> Stock DLC,,__setup__.stock_picking_type_reception_dlc,make_to_order,True,,__setup__.stock_location_route_mto_rhabillage_dlc_pol,0,20,stock.warehouse0
__setup__.procurement_rule_wh_rul4_supplier_dlc_stock_rhabillage_dlc,move,True,,1,,propagate,__setup__.mts_stock_location_recu_dlc_rhabillage,__setup__.mts_stock_location_ionbond_dlc_rhabillage,WH rul4: Supplier DLC -> Stock Rhabillage DLC,,__setup__.stock_picking_type_reception_dlc_rhabillage,make_to_order,True,,__setup__.stock_location_route_mto_rhabillage_dlc_pol,0,20,stock.warehouse0
__setup__.procurement_rule_wh_rul4_supplier_polissage_stock_polissage,move,True,,1,,propagate,__setup__.mts_stock_location_recu_polissage,__setup__.mts_stock_location_calcada_polissage,WH rul4: Supplier Polissage -> Stock Polissage,,__setup__.stock_picking_type_reception_polissage,make_to_order,True,,__setup__.stock_location_route_mto_rhabillage_dlc_pol,0,20,stock.warehouse0
