id,active,barcode_nomenclature_id/id,code,color,default_location_dest_id/id,default_location_src_id/id,name,return_picking_type_id/id,sequence,sequence_id/id,show_entire_packs,use_create_lots,use_existing_lots,warehouse_id/id
stock.picking_type_in,True,,incoming,1,__setup__.mts_stock_location_recu_durcissement,__setup__.mts_stock_location_bodycote_durcissement,Réception Durcissement,__setup__.stock_picking_type_envoi_dlc_rhabillage,1,__setup__.mts_ir_sequence_mts_in_mts_materiaux_technologies_surfaces_sasequence_in,False,False,True,stock.warehouse0
__setup__.stock_picking_type_reception_client_mat_premiere,True,,outgoing,2,stock.stock_location_stock,stock.stock_location_customers,Réception client (Mat. première),stock.picking_type_out,1,__setup__.mts_ir_sequence_mts_in_mts_materiaux_technologies_surfaces_sasequence_in,False,False,True,stock.warehouse0
__setup__.stock_picking_type_reception_client_sav,True,,outgoing,2,__setup__.mts_stock_location_stock_recu_client_rhabillage_sav,stock.stock_location_customers,Réception client (SAV),stock.picking_type_out,1,__setup__.mts_ir_sequence_mts_in_mts_materiaux_technologies_surfaces_sasequence_in,False,False,True,stock.warehouse0
stock.picking_type_internal,True,,internal,0,stock.stock_location_stock,stock.stock_location_stock,Internal Transfers,,2,__setup__.mts_ir_sequence_mts_int_mts_materiaux_technologies_surfaces_sasequence_internal,False,False,True,stock.warehouse0
stock.picking_type_out,True,,outgoing,0,stock.stock_location_customers,stock.stock_location_stock,Customer Delivery Orders,stock.picking_type_in,5,__setup__.mts_ir_sequence_mts_out_mts_materiaux_technologies_surfaces_sasequence_out,False,False,True,stock.warehouse0
mrp.picking_type_manufacturing,True,,mrp_operation,0,stock.stock_location_stock,stock.stock_location_stock,Manufacturing,,5,mrp.sequence_mrp_prod,False,True,False,stock.warehouse0
__setup__.stock_picking_type_supplier_delivery_orders,True,,outgoing,0,,stock.stock_location_stock,Supplier Delivery Orders,stock.picking_type_in,5,__setup__.mts_ir_sequence_mts_out_mts_materiaux_technologies_surfaces_sasequence_out,False,False,True,stock.warehouse0
__setup__.stock_picking_type_envoi_dlc_rhabillage,True,,outgoing,8,__setup__.mts_stock_location_ionbond_dlc,__setup__.mts_stock_location_recu_dlc,Envoi DLC Rhabillage,__setup__.stock_picking_type_reception_dlc_rhabillage,5,__setup__.mts_ir_sequence_mts_out_mts_materiaux_technologies_surfaces_sasequence_out,False,False,True,stock.warehouse0
__setup__.stock_picking_type_envoi_durcissement,True,,outgoing,1,__setup__.mts_stock_location_bodycote_durcissement,stock.stock_location_stock,Envoi Durcissement,stock.picking_type_in,5,__setup__.mts_ir_sequence_mts_out_mts_materiaux_technologies_surfaces_sasequence_out,False,False,True,stock.warehouse0
__setup__.stock_picking_type_reception_polissage,True,,incoming,3,__setup__.mts_stock_location_recu_polissage,__setup__.mts_stock_location_calcada_polissage,Réception Polissage,__setup__.stock_picking_type_envoi_polissage,5,__setup__.mts_ir_sequence_mts_in_mts_materiaux_technologies_surfaces_sasequence_in,False,False,True,stock.warehouse0
__setup__.stock_picking_type_envoi_polissage,True,,outgoing,3,__setup__.mts_stock_location_calcada_polissage,__setup__.mts_stock_location_recu_durcissement,Envoi Polissage,__setup__.stock_picking_type_reception_polissage,5,__setup__.mts_ir_sequence_mts_out_mts_materiaux_technologies_surfaces_sasequence_out,False,False,True,stock.warehouse0
__setup__.stock_picking_type_envoi_dlc,True,,outgoing,4,__setup__.mts_stock_location_ionbond_dlc,__setup__.mts_stock_location_recu_polissage,Envoi DLC,__setup__.stock_picking_type_reception_dlc,5,__setup__.mts_ir_sequence_mts_out_mts_materiaux_technologies_surfaces_sasequence_out,False,False,True,stock.warehouse0
__setup__.stock_picking_type_reception_dlc,True,,incoming,4,__setup__.mts_stock_location_recu_dlc,__setup__.mts_stock_location_ionbond_dlc,Réception DLC,__setup__.stock_picking_type_envoi_dlc,5,__setup__.mts_ir_sequence_mts_in_mts_materiaux_technologies_surfaces_sasequence_in,False,False,True,stock.warehouse0
__setup__.stock_picking_type_reception_dlc_rhabillage,True,,incoming,8,__setup__.mts_stock_location_recu_dlc_rhabillage,__setup__.mts_stock_location_ionbond_dlc,Réception DLC Rhabillage,__setup__.stock_picking_type_envoi_dlc_rhabillage,5,__setup__.mts_ir_sequence_mts_in_mts_materiaux_technologies_surfaces_sasequence_in,False,False,True,stock.warehouse0
__setup__.stock_picking_type_reception_polissage_3,True,,incoming,3,__setup__.mts_stock_location_recu_polissage,__setup__.mts_stock_location_calcada_polissage,Réception Polissage,__setup__.stock_picking_type_envoi_polissage,5,__setup__.mts_ir_sequence_mts_out_mts_materiaux_technologies_surfaces_sasequence_out,False,False,True,stock.warehouse0
