id,name,parent_id/id,property_account_income_categ_id/id,property_account_expense_categ_id/id
__setup__.product_category_brin_de_bracelets,Brin de bracelets,product.product_category_1,__setup__.l10n_ch_coa_original_3000_base_main_company,__setup__.l10n_ch_coa_original_4000_base_main_company
__setup__.product_category_carrure,Carrure,product.product_category_1,__setup__.l10n_ch_coa_original_3000_base_main_company,__setup__.l10n_ch_coa_original_4000_base_main_company
__setup__.product_category_fond,Fond,product.product_category_1,__setup__.l10n_ch_coa_original_3000_base_main_company,__setup__.l10n_ch_coa_original_4000_base_main_company
__setup__.product_category_lunette,Lunette,product.product_category_1,__setup__.l10n_ch_coa_original_3000_base_main_company,__setup__.l10n_ch_coa_original_4000_base_main_company
__setup__.product_category_boucle,Boucle,product.product_category_1,__setup__.l10n_ch_coa_original_3000_base_main_company,__setup__.l10n_ch_coa_original_4000_base_main_company
__setup__.product_category_attache,Attache,product.product_category_1,__setup__.l10n_ch_coa_original_3000_base_main_company,__setup__.l10n_ch_coa_original_4000_base_main_company
__setup__.product_category_maillon,Maillon,product.product_category_1,__setup__.l10n_ch_coa_original_3000_base_main_company,__setup__.l10n_ch_coa_original_4000_base_main_company
__setup__.product_category_protege_couronne,Protège Couronne,product.product_category_1,__setup__.l10n_ch_coa_original_3000_base_main_company,__setup__.l10n_ch_coa_original_4000_base_main_company
__setup__.product_category_couronne,Couronne,product.product_category_1,__setup__.l10n_ch_coa_original_3000_base_main_company,__setup__.l10n_ch_coa_original_4000_base_main_company
__setup__.product_category_poussoir,Poussoir,product.product_category_1,__setup__.l10n_ch_coa_original_3000_base_main_company,__setup__.l10n_ch_coa_original_4000_base_main_company
__setup__.product_category_ardillon,Ardillon,product.product_category_1,__setup__.l10n_ch_coa_original_3000_base_main_company,__setup__.l10n_ch_coa_original_4000_base_main_company
__setup__.product_category_vis,Vis,product.product_category_1,__setup__.l10n_ch_coa_original_3000_base_main_company,__setup__.l10n_ch_coa_original_4000_base_main_company
__setup__.product_category_piece_mouvement,Pièce mouvement,product.product_category_1,__setup__.l10n_ch_coa_original_3000_base_main_company,__setup__.l10n_ch_coa_original_4000_base_main_company
__setup__.product_category_tube,Tube,product.product_category_1,__setup__.l10n_ch_coa_original_3000_base_main_company,__setup__.l10n_ch_coa_original_4000_base_main_company
__setup__.product_category_essai,Essai,product.product_category_1,__setup__.l10n_ch_coa_original_3000_base_main_company,__setup__.l10n_ch_coa_original_4000_base_main_company
