id,default_code,name,description_purchase,description_sale,purchase_ok,sale_ok,type,track_service,invoice_policy,route_ids,chemistry,list_price,taxes_id,supplier_taxes_id,standard_price,sale_delay,warranty,uom_id,categ_id,uom_po_id,property_account_income_id,property_account_expense_id,company_id/id
__setup__.product_112,112,Brin(65x15mm).Bod.140225.KOL,Traitement K33 offre Bod 17.07.2014,Traitement K33 offre Bod 17.07.2014,TRUE,FALSE,service,,Delivered quantities,Buy,,,TVA 0% exclue,TVA 8.0% sur achat B&S (Incl. TN),,,,Unit(s),Brin de bracelets,Unit(s),,4070,base.main_company
__setup__.product_113,113,Carrure.sup45.Bod.140225.KOL,Traitement K33 offre MTS140225,Traitement K33 offre MTS140225,TRUE,FALSE,service,,Delivered quantities,Buy,,,TVA 0% exclue,TVA 8.0% sur achat B&S (Incl. TN),,,,Unit(s),Carrure,Unit(s),,4070,base.main_company
__setup__.product_114,114,Brin(150x15mm).Bod.140225.KOL,Traitement K33 offre Bod 17.07.2014,Traitement K33 offre Bod 17.07.2014,TRUE,FALSE,service,,Delivered quantities,Buy,,,TVA 0% exclue,TVA 8.0% sur achat B&S (Incl. TN),,,,Unit(s),Brin de bracelets,Unit(s),,4070,base.main_company
__setup__.product_115,115,Carrure.inf45.Bod.140225.KOL,Traitement K33 offre MTS140225,Traitement K33 offre MTS140225,TRUE,FALSE,service,,Delivered quantities,Buy,,,TVA 0% exclue,TVA 8.0% sur achat B&S (Incl. TN),,,,Unit(s),Carrure,Unit(s),,4070,base.main_company
__setup__.product_116,116,Fond.sup45.Bod.140225.KOL,Traitement K33 offre MTS140225,Traitement K33 offre MTS140225,TRUE,FALSE,service,,Delivered quantities,Buy,,,TVA 0% exclue,TVA 8.0% sur achat B&S (Incl. TN),,,,Unit(s),Fond,Unit(s),,4070,base.main_company
__setup__.product_117,117,Fond.inf45.Bod.140225.KOL,Traitement K33 offre MTS140225,Traitement K33 offre MTS140225,TRUE,FALSE,service,,Delivered quantities,Buy,,,TVA 0% exclue,TVA 8.0% sur achat B&S (Incl. TN),,,,Unit(s),Fond,Unit(s),,4070,base.main_company
__setup__.product_118,118,Lunette.inf45.Bod.140225.KOL,Traitement K33 offre MTS140225,Traitement K33 offre MTS140225,TRUE,FALSE,service,,Delivered quantities,Buy,,,TVA 0% exclue,TVA 8.0% sur achat B&S (Incl. TN),,,,Unit(s),Lunette,Unit(s),,4070,base.main_company
__setup__.product_119,119,Boucle(sup25x15mm).Bod.140225.KOL,Traitement K33 offre MTS140225,Traitement K33 offre MTS140225,TRUE,FALSE,service,,Delivered quantities,Buy,,,TVA 0% exclue,TVA 8.0% sur achat B&S (Incl. TN),,,,Unit(s),Boucle,Unit(s),,4070,base.main_company
__setup__.product_120,120,Attache(25x15).Bod.140225.KOL,Traitement K33 offre MTS140225,Traitement K33 offre MTS140225,TRUE,FALSE,service,,Delivered quantities,Buy,,,TVA 0% exclue,TVA 8.0% sur achat B&S (Incl. TN),,,,Unit(s),Attache,Unit(s),,4070,base.main_company
__setup__.product_121,121,Boucle(inf25x15mm).Bod.140225.KOL,Traitement K33 offre MTS140225,Traitement K33 offre MTS140225,TRUE,FALSE,service,,Delivered quantities,Buy,,,TVA 0% exclue,TVA 8.0% sur achat B&S (Incl. TN),,,,Unit(s),Boucle,Unit(s),,4070,base.main_company
