id;parent_id/id;name
senario.product_category_all;;Tous
senario.product_category_depil;senario.product_category_all;Dépiltation
senario.product_category_depil_femmes;senario.product_category_depil;Dépiltaion Femmes
senario.product_category_depil_femmes_forfait;senario.product_category_depil_femmes;Dépiltaion Femmes au forfait
senario.product_category_depil_femmes_forfait_maillot;senario.product_category_depil_femmes_forfait;Dépiltaion Femmes au forfait : Maillot
senario.product_category_depil_femmes_forfait_maillotcomplement;senario.product_category_depil_femmes_forfait;Dépiltaion Femmes au forfait : Maillot, complément
senario.product_category_depil_femmes_forfait_jambe;senario.product_category_depil_femmes_forfait;Dépiltaion Femmes au forfait : Jambes
senario.product_category_depil_femmes_forfait_visage;senario.product_category_depil_femmes_forfait;Dépiltaion Femmes au forfait : Visage
senario.product_category_depil_femmes_seance;senario.product_category_depil_femmes;Dépiltaion Femmes à la séance
senario.product_category_depil_femmes_seance_maillot;senario.product_category_depil_femmes_seance;Dépiltaion Femmes à la séance : Maillot
senario.product_category_depil_femmes_seance_jambe;senario.product_category_depil_femmes_seance;Dépiltaion Femmes à la séance : Jambes
senario.product_category_depil_femmes_seance_visage;senario.product_category_depil_femmes_seance;Dépiltaion Femmes à la séance : Visage
senario.product_category_depil_hommes;senario.product_category_depil;Dépiltaion Hommes
senario.product_category_depil_hommes_forfait;senario.product_category_depil_hommes;Dépiltaion Hommes au forfait
senario.product_category_depil_hommes_forfait_maillot;senario.product_category_depil_hommes_forfait;Dépiltaion Hommes au forfait : Maillot
senario.product_category_depil_hommes_forfait_maillotcomplement;senario.product_category_depil_hommes_forfait;Dépiltaion Hommes au forfait : Maillot, complément
senario.product_category_depil_hommes_forfait_jambe;senario.product_category_depil_hommes_forfait;Dépiltaion Hommes au forfait : Jambes
senario.product_category_depil_hommes_forfait_visage;senario.product_category_depil_hommes_forfait;Dépiltaion Hommes au forfait : Visage
senario.product_category_depil_hommes_seance;senario.product_category_depil_hommes;Dépiltaion Hommes à la séance
senario.product_category_depil_hommes_seance_maillot;senario.product_category_depil_hommes_seance;Dépiltaion Hommes à la séance : Maillot
senario.product_category_depil_hommes_seance_jambe;senario.product_category_depil_hommes_seance;Dépiltaion Hommes à la séance : Jambes
