id;categ_id/id;name;list_price
scenario.product_product_depil_femmes_seance_jambe_3-4_cuisses;scenario.product_category_depil_femmes_seance_jambe;Dépilation 3/4 Cuisses 1 Séance Femme;153.33
scenario.product_product_depil_femmes_forfait_jambe_3-4_cuisses;scenario.product_category_depil_femmes_forfait_jambe;Dépilation 3/4 Cuisses Femme;766.67
scenario.product_product_depil_femmes_seance_jambe_3-4_jambes;scenario.product_category_depil_femmes_seance_jambe;Dépilation 3/4 Jambes 1 Séance Femme;231.67
scenario.product_product_depil_femmes_forfait_jambe_3-4_jambes;scenario.product_category_depil_femmes_forfait_jambe;Dépilation 3/4 Jambes Femme;1158.33
scenario.product_depil_femmes_forfait_aiselles;scenario.product_category_depil_femmes_forfait;Dépilation Aiselles Femme;366.67
scenario.product_depil_femmes_seance_aisselles;scenario.product_category_depil_femmes_seance;Dépilation Aisselles 1 Séance Femme;73.33
scenario.product_depil_hommes_seance_aisselles;scenario.product_category_depil_hommes_seance;Dépilation Aisselles 1 Séance Homme;73.33
scenario.product_depil_hommes_forfait_aisselles;scenario.product_category_depil_hommes_forfait;Dépilation Aisselles Homme;366.67
scenario.product_depil_hommes_seance_aréoles;scenario.product_category_depil_hommes_seance;Dépilation Aréoles 1 Séance (zone Hormono-dépendante) Homme;53.33
scenario.product_depil_hommes_forfait_aréoles_forfait_6_séances;scenario.product_category_depil_hommes_forfait;Dépilation Aréoles Forfait 6 Séances (zone Hormono-dépendante) Homme;266.67
scenario.product_depil_femmes_seance_aréoles;scenario.product_category_depil_femmes_seance;Dépilation Aréoles 1 Séance (zone Hormono-dépendante) Femme;53.33
scenario.product_depil_femmes_seance_bande_ventre;scenario.product_category_depil_femmes_seance;Dépilation Bande Ventre 1 Séance (zone Hormono-dépendante) Femme;58.33
scenario.product_depil_hommes_seance_visage_barbe;scenario.product_category_depil_hommes_seance_visage;Dépilation Barbe 1 Séance Homme;116.67
scenario.product_depil_hommes_forfait_visage_barbe;scenario.product_category_depil_hommes_forfait_visage;Dépilation Barbe Homme;583.33
scenario.product_depil_femmes_seance_bas_du_dos_-_région_lombaire;scenario.product_category_depil_femmes_seance;Dépilation Bas Du Dos / Région Lombaire 1 Séance (zone Hormono-dépendante) Femme;58.33
scenario.product_depil_hommes_seance_bas_du_dos;scenario.product_category_depil_hommes_seance;Dépilation Bas Du Dos 1 Séance (zone Hormono-dépendante) Homme;91.67
scenario.product_depil_hommes_forfait_bas_du_dos_forfait_6_séances;scenario.product_category_depil_hommes_forfait;Dépilation Bas Du Dos Forfait 6 Séances (zone Hormono-dépendante) Homme;458.33
scenario.product_depil_hommes_forfait_bras_complets;scenario.product_category_depil_hommes_forfait;Dépilation Bras Complets Homme;833.33
scenario.product_depil_femmes_seance_bras_complets;scenario.product_category_depil_femmes_seance;Dépilation Bras Complets 1 Séance Femme;150
scenario.product_depil_hommes_seance_bras_complets;scenario.product_category_depil_hommes_seance;Dépilation Bras Complets 1 Séance Homme;166.67
scenario.product_depil_hommes_seance_chemin_de_l'homme_bande_ventre;scenario.product_category_depil_hommes_seance;Dépilation Chemin De L'homme (bande Ventre) 1 Séance (zone Hormono-dépendante) Homme;75
scenario.product_depil_hommes_forfait_chemin_de_l'homme_bande_ventre_forfait_6_séances;scenario.product_category_depil_hommes_forfait;Dépilation Chemin De L'homme (bande Ventre) Forfait 6 Séances (zone Hormono-dépendante) Homme;375
scenario.product_depil_hommes_seance_collier_torse;scenario.product_category_depil_hommes_seance;Dépilation Collier (Torse - zone Hormono-dépendante) 1 Séance Homme;66.67
scenario.product_depil_hommes_forfait_collier_torse;scenario.product_category_depil_hommes_forfait;Dépilation Collier (Torse - zone Hormono-dépendante) Homme;333.33
scenario.product_depil_hommes_seance_visage_cou_barbe;scenario.product_category_depil_hommes_seance_visage;Dépilation Cou (Barbe) 1 Séance Homme;66.67
scenario.product_depil_hommes_forfait_visage_cou_barbe;scenario.product_category_depil_hommes_forfait_visage;Dépilation Cou (Barbe) Homme;333.33
scenario.product_depil_femmes_seance_visage_cou;scenario.product_category_depil_femmes_seance_visage;Dépilation Cou 1 Séance (zone Hormono-dépendante) Femme;66.67
scenario.product_depil_femmes_forfait_visage_cou_forfait_6_séances;scenario.product_category_depil_femmes_forfait_visage;Dépilation Cou Forfait 6 Séances (zone Hormono-dépendante) Femme;333.33
scenario.product_depil_hommes_forfait_jambe_cuisses;scenario.product_category_depil_hommes_forfait_jambe;Dépilation Cuisses Homme;1083.33
scenario.product_depil_femmes_seance_jambe_cuisses;scenario.product_category_depil_femmes_seance_jambe;Dépilation Cuisses 1 Séance Femme;203.33
scenario.product_depil_hommes_seance_jambe_cuisses;scenario.product_category_depil_hommes_seance_jambe;Dépilation Cuisses 1 Séance Homme;216.67
scenario.product_depil_femmes_forfait_jambe_cuisses;scenario.product_category_depil_femmes_forfait_jambe;Dépilation Cuisses Femme;1016.67
scenario.product_depil_femmes_seance_demi-bras;scenario.product_category_depil_femmes_seance;Dépilation Demi-bras 1 Séance Femme;103.33
scenario.product_depil_hommes_seance_demi-bras;scenario.product_category_depil_hommes_seance;Dépilation Demi-bras 1 Séance Homme;111.67
scenario.product_depil_hommes_forfait_demi-bras;scenario.product_category_depil_hommes_forfait;Dépilation Demi-bras Homme;558.33
scenario.product_depil_femmes_forfait_jambe_demi-cuisses_arrière_ou_devant_de_cuisses;scenario.product_category_depil_femmes_forfait_jambe;Dépilation Demi-cuisses (arrière Ou Devant De Cuisses) Femme;600
scenario.product_depil_femmes_seance_jambe_demi-cuisses__arrière_ou_devant_de_cuisses;scenario.product_category_depil_femmes_seance_jambe;Dépilation Demi-cuisses  (arrière Ou Devant De Cuisses) 1 Séance Femme;120
scenario.product_depil_femmes_seance_demi-dos;scenario.product_category_depil_femmes_seance;Dépilation Demi-dos 1 Séance (zone Hormono-dépendante) Femme;133.33
scenario.product_depil_hommes_seance_demi-dos;scenario.product_category_depil_hommes_seance;Dépilation Demi-dos 1 Séance (zone Hormono-dépendante) Homme;148.33
scenario.product_depil_hommes_forfait_demi-dos_forfait_6_séances;scenario.product_category_depil_hommes_forfait;Dépilation Demi-dos Forfait 6 Séances (zone Hormono-dépendante) Homme;741.67
scenario.product_depil_femmes_seance_jambe_demi-jambes;scenario.product_category_depil_femmes_seance_jambe;Dépilation Demi-jambes 1 Séance Femme;203.33
scenario.product_depil_hommes_seance_jambe_demi-jambes;scenario.product_category_depil_hommes_seance_jambe;Dépilation Demi-jambes 1 Séance Homme;216.67
scenario.product_depil_femmes_forfait_jambe_demi-jambes;scenario.product_category_depil_femmes_forfait_jambe;Dépilation Demi-jambes Femme;1016.67
scenario.product_depil_hommes_forfait_jambe_demi-jambes;scenario.product_category_depil_hommes_forfait_jambe;Dépilation Demi-jambes Homme;1083.33
scenario.product_depil_femmes_seance_dos;scenario.product_category_depil_femmes_seance;Dépilation Dos 1 Séance (zone Hormono-dépendante) Femme;220
