id,allowed_company_ids/id,type,combinable,program_name,action_ids/allow_negative_total,action_ids/discount_percent,action_ids/pricelist_id/id,action_ids/product_add_price,action_ids/product_add_id/id,action_ids/product_discount_selection,action_ids/sequence,action_ids/product_add_force_price,action_ids/type_action,action_ids/note_message,condition_ids/product_min_price_unit,condition_ids/product_id/id,condition_ids/product_category_id/id,condition_ids/product_max_qty,condition_ids/product_min_qty,condition_ids/product_qty_type,condition_ids/sequence,condition_ids/type_condition
scenario.discount_program_cumul_4_zones,,discount_program,True,Cumul de zone - 4 zones,True,30,,0,,Most expensive without discount,10,False,Discount on product,Vous avez bénéficié de 30% de de réduction sur un produit.,400,,scenario.product_category_depil_femmes_forfait,0,4,Quantity is the sum of matching products quantities,1,Product Category
,,,,,True,20,,0,,Most expensive without discount,10,False,Discount on product,Vous avez bénéficié de 20% de de réduction sur un produit.,,,,,,,,
,,,,,,,,,,,,,,,400,,scenario.product_category_depil_hommes_forfait,0,4,Quantity is the sum of matching products quantities,2,Product Category
,,,,,,,,,,,,,,,88,,scenario.product_category_depil_femmes_seance,0,4,Quantity is the sum of matching products quantities,3,Product Category
,,,,,,,,,,,,,,,88,,scenario.product_category_depil_hommes_seance,0,4,Quantity is the sum of matching products quantities,4,Product Category
,,,,,,,,,,,,,,,0,,scenario.product_category_dermlight,0,4,Quantity is the sum of matching products quantities,5,Product Category
scenario.discount_program_coffret_depil,,discount_program,True,Coffret Cadeau - Dépil,True,0,,0,scenario.product_coffretcosmetique_esthederm,,10,True,Add Product,Vous avez bénéficié d’un produit offert.,1000,,scenario.product_category_depil_femmes_forfait,0,1,Quantity is the sum of matching products quantities,10,Product Category
,,,,,,,,,,,,,,,400,,scenario.product_category_depil_femmes_forfait,0,2,Quantity is the sum of matching products quantities,10,Product Category
,,,,,,,,,,,,,,,1000,,scenario.product_category_depil_hommes_forfait,0,1,Quantity is the sum of matching products quantities,10,Product Category
,,,,,,,,,,,,,,,400,,scenario.product_category_depil_hommes_forfait,0,2,Quantity is the sum of matching products quantities,10,Product Category
scenario.discount_program_coffret_esthederm,,discount_program,True,Coffret Cadeau - Dermlight - Esthederm,True,0,,0,scenario.product_coffretcosmetique_esthederm,,10,True,Add Product,Vous avez bénéficié d’un produit offert.,0,,scenario.product_category_dermlight_esthederm_5seances,0,1,Quantity is the sum of matching products quantities,10,Product Category
,,,,,,,,,,,,,,,0,,scenario.product_category_dermlight_esthederm_3seances,0,2,Quantity is the sum of matching products quantities,10,Product Category
scenario.discount_program_coffret_clayton,,discount_program,True,Coffret Cadeau - Dermlight - Clayton-Shagal,True,0,,0,scenario.product_coffretcosmetique_clayton_shagal,,10,True,Add Product,Vous avez bénéficié d’un produit offert.,0,,scenario.product_category_dermlight_Clayton-Shagal_5seances,0,1,Quantity is the sum of matching products quantities,10,Product Category
,,,,,,,,,,,,,,,0,,scenario.product_category_dermlight_Clayton-Shagal_3seances,0,2,Quantity is the sum of matching products quantities,10,Product Category
scenario.discount_program_parrainage,,discount_program,True,Parrainage,True,0,specific_discount_program.pricelist_sponsorship,0,,,10,False,Change sale order pricelist,Vous avez bénéficié de 10% de bon parrainage.,0,,,0,0,,10,Sponsorship
scenario.discount_program_cumul_2_zones,,discount_program,True,Cumul de zone - 2 zones,True,20,,0,,Most expensive without discount,10,False,Discount on product,Vous avez bénéficié de 20% de de réduction sur un produit.,400,,scenario.product_category_depil_femmes_forfait,2,2,Quantity is the sum of matching products quantities,10,Product Category
,,,,,,,,,,,,,,,400,,scenario.product_category_depil_hommes_forfait,2,2,Quantity is the sum of matching products quantities,10,Product Category
,,,,,,,,,,,,,,,88,,scenario.product_category_depil_femmes_seance,2,2,Quantity is the sum of matching products quantities,10,Product Category
,,,,,,,,,,,,,,,88,,scenario.product_category_depil_hommes_seance,2,2,Quantity is the sum of matching products quantities,10,Product Category
,,,,,,,,,,,,,,,0,,scenario.product_category_dermlight,2,2,Quantity is the sum of matching products quantities,10,Product Category
scenario.discount_program_cumul_3_zones,,discount_program,True,Cumul de zone - 3 zones,True,30,,0,,Most expensive without discount,10,False,Discount on product,Vous avez bénéficié de 30% de de réduction sur un produit.,400,,scenario.product_category_depil_femmes_forfait,3,3,Quantity is the sum of matching products quantities,10,Product Category
,,,,,,,,,,,,,,,400,,scenario.product_category_depil_hommes_forfait,3,3,Quantity is the sum of matching products quantities,10,Product Category
,,,,,,,,,,,,,,,88,,scenario.product_category_depil_femmes_seance,3,3,Quantity is the sum of matching products quantities,10,Product Category
,,,,,,,,,,,,,,,88,,scenario.product_category_depil_hommes_seance,3,3,Quantity is the sum of matching products quantities,10,Product Category
,,,,,,,,,,,,,,,0,,scenario.product_category_dermlight,3,3,Quantity is the sum of matching products quantities,10,Product Category
